text
"Thank you Foxconn for investing $10 BILLION DOLLARS with the potential for up to 13K new jobs in Wisconsin! MadeInTheUSACongratulations to Boys and Girls Nation. It was my great honor to welcome you to the WH today! Full Remarks: """
IN AMERICA WE DON'T WORSHIP GOV's political run from Hillary Clinton and her representatives. Drain the Swamp!
"Why didn't A.G. Sessions replace ActiERNMENT - WE WORSHIP GOD!...big dollars ($700 000) for his wifeng FBI Director Andrew McCabe a Comey friend who was in charge of Clinton investigation but got...."""
....victory and cannot be burdened with the tremendous medical costs and disruption that transgender in the military would entail. Thank you
....Transgender individuals to serve in any capacity in the U.S. Military. Our military must be focused on decisive and overwhelming.....
After consultation with my Generals and military experts please be advised that the United States Government will not accept or allow......
The crowd in Ohio was amazing last night - broke all records. We all had a great time in a great State. Will be back soon!
People of Ohio are fantastic. Thank you so much. What an evening! 
It was my great honor to join our wonderful Veterans at AMVETS Post 44 in Youngstown Ohio this evening. A grateful nation salutes you! 
Joint Press Conference with Prime Minister Saad Hariri of Lebanon beginning shortly. Join us live!
Drain the Swamp should be changed to Drain the Sewer - it's actually much worse than anyone ever thought and it begins with the Fake News!
If Republicans don't Repeal and Replace the disastrous ObamaCare the repercussions will be far greater than any of them understand!
It's hard to read the Failing New York Times or the Amazon Washington Post because every story/opinion even if should be positive
It's very sad that Republicans even some that were carried over the line on my back
As the phony Russian Witch Hunt continues two groups are laughing at this excuse for a lost election taking hold
To every PATRIOT who will serve on the #USSGeraldRFord:
American steel &amp; American hands have constructed a 100 000 ton message to the world: American MIGHT IS SECOND TO NONE!
Join me live for the commissioning ceremony of the USS Gerald R. Ford!
ObamaCare is dead and the Democrats are obstructionists no ideas or votes
The Republican Senators must step up to the plate and after 7 years
In all fairness to Anthony Scaramucci he wanted to endorse me 1st
My son Donald openly gave his e-mails to the media &amp; authorities whereas Crooked Hillary Clinton deleted (&amp; acid washed) her 33 000 e-mails!
...What about all of the Clinton ties to Russia including Podesta Company
So many people are asking why isn't the A.G. or Special Council looking at the many Hillary Clinton or Comey crimes. 33 000 e-mails deleted?
While all agree the U. S. President has the complete power to pardon why think of that when only crime so far is LEAKS against us.FAKE NEWS
This morning I will be going to the Commissioning Ceremony for the largest aircraft carrier in the world The Gerald R. Ford. Norfolk
The Failing New York Times foiled U.S. attempt to kill the single most wanted terrorist Al-Baghdadi.Their sick agenda over National Security
A new INTELLIGENCE LEAK from the Amazon Washington Post this time against A.G. Jeff Sessions.These illegal leaks
Sean Spicer is a wonderful person who took tremendous abuse from the Fake News Media - but his future is bright!
Today it was my privilege to welcome survivors of the #USSArizona to the WH. Remarks: 
ISIS is on the run &amp; will soon be wiped out of Syria &amp; Iraq illegal border crossings are way down (75%) &amp; MS 13 gangs are being removed.
Remember when you hear the words sources say from the Fake Media
My son Donald did a good job last night. He was open transparent and innocent. This is the greatest Witch Hunt in political history. Sad!
My son Donald
Big wins against ISIS!
Marine Plane crash in Mississippi is heartbreaking. Melania and I send our deepest condolences to all!
Working hard to get the Olympics for the United States (L.A.). Stay tuned!
The Senate Democrats have only confirmed 48 of 197 Presidential Nominees. They can't win so all they do is slow things down &amp; obstruct!
If Chelsea Clinton were asked to hold the seat for her mother as her mother gave our country away
When I left Conference Room for short meetings with Japan and other countries I asked Ivanka to hold seat. Very standard. Angela M agrees!
I cannot imagine that Congress would dare to leave Washington without a beautiful new HealthCare bill fully approved and ready to go!
James Comey leaked CLASSIFIED INFORMATION to the media. That is so illegal!
The fact that President Putin and I discussed a Cyber Security unit doesn't mean I think it can happen. It can't-but a ceasefire can &amp; did!
Syrian ceasefire seems to be holding. Many lives can be saved. Came out of meeting. Good!
For years even as a civilian
...whether there are tapes or recordings of my conversations with James Comey but I did not make
With all of the recently reported electronic surveillance intercepts
I certainly hope the Democrats do not force Nancy P out. That would be very bad for the Republican Party - and please let Cryin' Chuck stay!
...Why did the DNC REFUSE to turn over its Server to the FBI and still hasn't? It's all a big Dem scam and excuse for losing the election!
...Why did Democratic National Committee turn down the DHS offer to protect against hacks (long prior to election). It's all a big Dem HOAX!
By the way if Russia was working so hard on the 2016 Election
Former Homeland Security Advisor Jeh Johnson is latest top intelligence official to state there was no grand scheme between Trump &amp; Russia.
Great night in Iowa - special people. Thank you!
Thank you Kirkwood Community College. Heading to the U.S. Cellular Center now for an 8pmE MAKE AMERICA GREAT AGAIN… 
"Just landed in Iowa. See everyone soon! #MAGADemocrats would do much better as a party if they got together with Republicans on Healthcare Tax Cuts"""
Well the Special Elections are over and those that want to MAKE AMERICA GREAT AGAIN are 5 and O! All the Fake News
Ralph Norman ran a fantastic race to win in the Great State of South Carolina's 5th District. We are all honored by your success tonight!
Congratulations to Karen Handel on her big win in Georgia 6th. Fantastic job we are all very proud of you!
Things are looking great for Karen H!
While I greatly appreciate the efforts of President Xi &amp; China to help with North Korea it has not worked out. At least I know China tried!
The U.S. once again condemns the brutality of the North Korean regime as we mourn its latest victim. Video: 
KAREN HANDEL FOR CONGRESS. She will fight for lower taxes great healthcare strong security-a hard worker who will never give up! VOTE TODAY
Democrat Jon Ossoff who wants to raise your taxes to the highest level and is weak on crime and security
Big day tomorrow in Georgia and South Carolina. ObamaCare is dead. Dems want to raise taxes big! They can only obstruct no ideas. Vote R
Melania and I offer our deepest condolences to the family of Otto Warmbier. Full statement: 
